,,0
אבחנה-Basic stage_c - Clinical,אבחנה-Basic stage_p - Pathological,-0.9997483393687228
אבחנה-Basic stage_p - Pathological,אבחנה-Basic stage_c - Clinical,-0.9997483393687228
other,אבחנה-Surgery sum,-0.9698811908775973
אבחנה-Surgery sum,other,-0.9698811908775973
 Hospital_60.0, Hospital_20.0,-0.7497928844216193
 Hospital_20.0, Hospital_60.0,-0.7497928844216193
LUMPECTOMY + SENTINEL NODE BIOPSY,other,-0.7337477453734833
other,LUMPECTOMY + SENTINEL NODE BIOPSY,-0.7337477453734833
other.2,AXILLARY LYMPH NODE DISSECTION.2,-0.7244196270709274
AXILLARY LYMPH NODE DISSECTION.2,other.2,-0.7244196270709274
כירו-שד-למפקטומי+בלוטות,other.3,-0.5986310440045737
other.3,כירו-שד-למפקטומי+בלוטות,-0.5986310440045737
אבחנה-Histological diagnosis_LOBULAR INFILTRATING CARCINOMA,אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,-0.5654765895738773
אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,אבחנה-Histological diagnosis_LOBULAR INFILTRATING CARCINOMA,-0.5654765895738773
other.2,MASTECTOMY.2,-0.5475563615325252
MASTECTOMY.2,other.2,-0.5475563615325252
other.1,LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST.1,-0.5398597894487462
LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST.1,other.1,-0.5398597894487462
 Hospital_62.0, Hospital_20.0,-0.5194784799802139
 Hospital_20.0, Hospital_62.0,-0.5194784799802139
T1,Undefined,-0.503633925359514
Undefined,T1,-0.503633925359514
LUMPECTOMY + SENTINEL NODE BIOPSY.1,other.1,-0.468135262562116
other.1,LUMPECTOMY + SENTINEL NODE BIOPSY.1,-0.468135262562116
אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,אבחנה-Histological diagnosis_INTRADUCTAL CARCINOMA,-0.46690530052654733
אבחנה-Histological diagnosis_INTRADUCTAL CARCINOMA,אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,-0.46690530052654733
אבחנה-Nodes exam,LUMPECTOMY + SENTINEL NODE BIOPSY,-0.4469090024827983
LUMPECTOMY + SENTINEL NODE BIOPSY,אבחנה-Nodes exam,-0.4469090024827983
אבחנה-Surgery sum,אבחנה-Histopatological degree,-0.44637328187743824
אבחנה-Histopatological degree,אבחנה-Surgery sum,-0.44637328187743824
אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,אבחנה-Histological diagnosis_INFILTRATING DUCTULAR CARCINOMA WITH DCIS,-0.42185638879588006
אבחנה-Histological diagnosis_INFILTRATING DUCTULAR CARCINOMA WITH DCIS,אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,-0.42185638879588006
T1,T2,-0.41446855232168095
T2,T1,-0.41446855232168095
אבחנה-Surgery sum,Undefined,-0.3999330160762913
Undefined,אבחנה-Surgery sum,-0.3999330160762913
LUMPECTOMY + SENTINEL NODE BIOPSY,אבחנה-Histopatological degree,-0.3990658246963077
אבחנה-Histopatological degree,LUMPECTOMY + SENTINEL NODE BIOPSY,-0.3990658246963077
T1,other,-0.39414420986823706
other,T1,-0.39414420986823706
אבחנה-Surgery sum,other.1,-0.38724574606066814
other.1,אבחנה-Surgery sum,-0.38724574606066814
T2,Undefined,-0.38363833341243936
Undefined,T2,-0.38363833341243936
T1,אבחנה-Histopatological degree,-0.36834797108865963
אבחנה-Histopatological degree,T1,-0.36834797108865963
other.2,LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST.2,-0.3534193070496497
LUMPECTOMY / LOCAL EXCISION OF LESION OF BREAST.2,other.2,-0.3534193070496497
אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,TIS,-0.35231431269567903
TIS,אבחנה-Histological diagnosis_INFILTRATING DUCT CARCINOMA,-0.35231431269567903
דיווח סיעודי,אומדן סימפטומים ודיווח סיעודי,-0.349493289074085
אומדן סימפטומים ודיווח סיעודי,דיווח סיעודי,-0.349493289074085
